epoch,train_loss,val_loss
1,nan,nan
2,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,nan,nan
7,nan,nan
8,nan,nan
9,nan,nan
10,nan,nan
11,nan,nan
12,nan,nan
13,nan,nan
14,nan,nan
15,nan,nan
16,nan,nan
17,nan,nan
18,nan,nan
19,nan,nan
20,nan,nan
1,nan,nan
2,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,nan,nan
7,nan,nan
8,nan,nan
9,nan,nan
10,nan,nan
11,nan,nan
12,nan,nan
13,nan,nan
14,nan,nan
15,nan,nan
16,nan,nan
17,nan,nan
18,nan,nan
19,nan,nan
20,nan,nan
1,0.6010767776816318,0.444113263266961
2,0.43651798876254266,0.42837968916868663
3,0.4309307166505497,0.42827852942364214
4,0.42740879007788063,0.42646103872538227
5,0.42497822552591846,0.42650109332867553
6,0.42395934710237804,0.4233668839020934
7,0.42328461526723554,0.423497295924653
8,0.4226759361020686,0.422689643266069
9,0.42254841334644433,0.4242774758657409
10,0.42217605613976855,0.4226512043453932
11,0.4220792373077003,0.42290855012525175
12,0.42187993520024214,0.4235497705336296
13,0.42190485210275125,0.4226518740463043
14,0.4214000877186994,0.4228715280218868
15,0.42114005193386583,0.42306540158245926
16,0.420960870374898,0.4216818273866002
17,0.42079577243761457,0.4224849277702389
18,0.4203213713813636,0.421766048092627
19,0.42028939584618374,0.42185476207850997
20,0.42010052995501285,0.4217870498181893
