epoch,step,min,max,mean,std
1,594,-0.04955531656742096,-0.04955531656742096,-0.04955531656742096,0.0
2,1188,-0.8129587173461914,-0.8129587173461914,-0.8129587173461914,0.0
3,1782,-0.5936703085899353,-0.5936703085899353,-0.5936703085899353,0.0
4,2376,-1.0097379684448242,-1.0097379684448242,-1.0097379684448242,0.0
5,2970,0.4990021288394928,0.4990021288394928,0.4990021288394928,0.0
6,3564,-0.045690178871154785,-0.045690178871154785,-0.045690178871154785,0.0
7,4158,-0.6686249375343323,-0.6686249375343323,-0.6686249375343323,0.0
8,4752,-0.10786958038806915,-0.10786958038806915,-0.10786958038806915,0.0
9,5346,-0.18688234686851501,-0.18688234686851501,-0.18688234686851501,0.0
10,5940,-0.3557298481464386,-0.3557298481464386,-0.3557298481464386,0.0
11,6534,0.2783406674861908,0.2783406674861908,0.2783406674861908,0.0
12,7128,0.3857564926147461,0.3857564926147461,0.3857564926147461,0.0
