epoch,step,min,max,mean,std
1,1000,-28.3558406829834,-28.3558406829834,-28.3558406829834,0.0
2,2000,-26.314603805541992,-26.314603805541992,-26.314603805541992,0.0
3,3000,-24.1125545501709,-24.1125545501709,-24.1125545501709,0.0
4,4000,-22.243175506591797,-22.243175506591797,-22.243175506591797,0.0
5,5000,-20.35009765625,-20.35009765625,-20.35009765625,0.0
6,6000,-18.680736541748047,-18.680736541748047,-18.680736541748047,0.0
7,7000,-16.92206573486328,-16.92206573486328,-16.92206573486328,0.0
8,8000,-15.327211380004883,-15.327211380004883,-15.327211380004883,0.0
9,9000,-14.61570930480957,-14.61570930480957,-14.61570930480957,0.0
10,10000,-12.836881637573242,-12.836881637573242,-12.836881637573242,0.0
11,11000,-11.62378215789795,-11.62378215789795,-11.62378215789795,0.0
12,12000,-10.860600471496582,-10.860600471496582,-10.860600471496582,0.0
13,13000,-9.797952651977539,-9.797952651977539,-9.797952651977539,0.0
14,14000,-8.835933685302734,-8.835933685302734,-8.835933685302734,0.0
15,15000,-8.144103050231934,-8.144103050231934,-8.144103050231934,0.0
16,16000,-7.288978576660156,-7.288978576660156,-7.288978576660156,0.0
17,17000,-6.740380764007568,-6.740380764007568,-6.740380764007568,0.0
18,18000,-5.934748649597168,-5.934748649597168,-5.934748649597168,0.0
19,19000,-5.467267990112305,-5.467267990112305,-5.467267990112305,0.0
20,20000,-4.998533248901367,-4.998533248901367,-4.998533248901367,0.0
21,21000,-4.253640174865723,-4.253640174865723,-4.253640174865723,0.0
22,22000,-4.121591567993164,-4.121591567993164,-4.121591567993164,0.0
23,23000,-3.7381763458251953,-3.7381763458251953,-3.7381763458251953,0.0
24,24000,-3.2654788494110107,-3.2654788494110107,-3.2654788494110107,0.0
25,25000,-3.139399766921997,-3.139399766921997,-3.139399766921997,0.0
26,26000,-2.8405120372772217,-2.8405120372772217,-2.8405120372772217,0.0
27,27000,-2.5717697143554688,-2.5717697143554688,-2.5717697143554688,0.0
28,28000,-2.401735544204712,-2.401735544204712,-2.401735544204712,0.0
29,29000,-2.126552104949951,-2.126552104949951,-2.126552104949951,0.0
30,30000,-1.8607590198516846,-1.8607590198516846,-1.8607590198516846,0.0
